index,likeness,c_black,c_white,c_gray,c_red,c_orange,c_yellow,c_green,c_blue,c_purple,c_skyblue,c_brown,c_pink,c_beige,c_charcoal,c_kaki,c_navy,c_neon,c_pastel,l_long,l_nshort,l_short,f_over,f_loose,f_regular,f_semiover,thick_high,thick_normal,thick_low,flex_high,flex_low,flex_normal,fabr_cotton,fab_linnen,fab_poli,fab_rayon,fab_nylon,fab_wool,fab_span,fab_tensil,fab_etc,neck_round,neck_v,neck_pola,neck_hpola,collar_normal,collar_china,collar_open,d_pocket,d_logo,d_frontprint,d_backprint,d_frontletter,d_backletter,d_stripe,d_layerd,d_addcolor,d_sideopen,d_button,d_hpocket,d_zipper,d_sibori,d_etc
11,,,1,,,,,1,,,,,,,,,,,,,,1,1,,,,,,1,,,1,1,,,,,,,,,1,,,,,,,,,0,0,0,0,1,,,,,,,,
12,,1,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,1,1,,,,,,,,,1,,,,,,,,,0,0,0,0,1,,,,,,,,
13,1,,1,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,,,1,1,,,,,,,,,1,,,,,,,,,0,0,0,0,1,,,,,,,,
14,1,,,,,,,,,1,,,,,,,,,1,,,1,,,1,,,,1,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
15,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,1,,,1,,,,,,,,,1,,,,,,,,1,0,1,0,0,,,,,,,,,
16,0,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,1,,1,,,1,,1,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
17,1,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,1
18,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,1,0,1,0,1,,,,,,,,,
19,,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,,,0,0,0,0,,,1,,,,,,
20,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,,,,,,1,,,,,,,,1,0,1,0,0,,,,1,,,,,
21,,,,,,1,,,,,,,,,,,,1,,,,1,1,,,,,,1,,1,,1,,,,,,,,,1,,,,,,,,1,0,0,0,1,,,,,,,,,
22,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,1,,1,,,,,,,,,1,,,,,,,,,1,0,0,0,,,,,,,,,
23,,,,,,,,,1,,,,,,,,1,,,,,1,,,1,,,1,,,1,,1,,,,,,,,,,,,,,,1,,,0,0,0,0,,,,,,,,,
24,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,1,,1,,,,,,,,,1,,,,,,,,1,0,1,0,0,,,,,,,,,
25,,,,,,,,1,,,,,,,,,,1,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,1,0,0,0,1,,,,,,,,,
26,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,1,,,,,,,,,,,,1,,,,,,0,0,0,0,,,,,,,,,
27,,1,,,,1,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,1,1,0,0,0,0,,,,,,,,,
28,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,1,,1,,1,,,,,,,,,1,,,,,,,,,0,0,1,0,,,,,,,,,
29,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,1,,1,,1,,,,,,,,,1,,,,,,,,1,0,1,0,1,,,,,,,,,
30,0,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,1,,0,0,0,0,,,,,,,,,
31,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,1,,,,,,,,,,1,,,,1,,,,0,0,0,0,,,,,,,,,
32,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,1,1,0,0,0,0,,,,,,,,,
33,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,1,1,0,0,0,0,,,,,,,,,
34,0,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,1,1,0,0,0,0,,,,,,,,,
35,0,,1,,,,,,1,,,,,,,,1,,,1,,,1,,,,,,1,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,1,,,,,,,,
36,0,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
37,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,1,,1,,,,,,,,,,,,1,,,,,0,0,0,0,,,1,,,,,,
38,,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,,,0,0,0,0,,,1,,,,,,
39,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,1,1,0,0,0,0,,,,,,,,,
40,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,1,,,,1,,,,,,,,1,,,,,,,,0,0,0,0,,,,,,,,,
41,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,1,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
42,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,1,0,1,0,0,,,,,,,,,
43,,,,,,,,,1,,,,,,,,1,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,1,0,1,0,0,,,,,,,,,
44,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,1,0,1,0,0,,,,,,,,,
45,0,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,,,,,1,,,1,,0,0,0,0,,,,,1,,,,
46,0,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,1,,,,1,,,,,,,,1,,,,1,1,,,0,0,0,0,,,,,,,,,
47,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,1,0,0,0,,,,,,,,,
48,0,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,1,,,,,1,,,,1,,,1,,,,,,,,,0,0,0,0,,,1,,,,,,
49,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,1,,,,,,,,
50,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,1,,1,,,,,,,,,,,,,,1,,,,0,0,0,0,,,,,1,,,,
51,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
52,1,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
53,1,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
54,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
55,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
56,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
57,0,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,1,,1,,,,,,,,,,1,,,,1,,,,0,0,0,0,,,,,,,,,
58,,,,,,,,,,,1,,,,,,,,1,,,1,,,,1,,,1,,1,,1,,,,,,,,,,1,,,,1,,,,0,0,0,0,,,,,,,,,
59,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,1,,1,,1,,,,,,,,,,1,,,,1,,,,0,0,0,0,,,,,,,,,
60,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,1,,,,,,,
61,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,1,,,,,,,
62,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,1,,1,,,,,
63,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,1,,1,,,,,
64,1,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,1,,1,,,,,
65,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,1,,1,,,,,
66,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,1,,1,,,,,
67,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,1,,1,,,,,
68,,1,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,1,1,,,,,,,,,1,,,,,,,,,0,0,0,0,1,,,,,,,,
69,,1,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,1,1,,,,,,,,,1,,,,,,,,,0,0,0,0,1,,,,,,,,
70,,1,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,1,,,1,1,,,,,,,,,1,,,,,,,,,0,0,0,0,1,,,,,,,,
71,,,1,,,,,,,,,,,,,1,,,,,,1,,,,1,,,1,,,1,1,,,,,,,,,1,,,,,,,,,0,0,0,0,1,,,,,,,,
72,0,,1,,,,1,,,,,,,,,,,,,,,1,,,,1,,,1,,,1,1,,,,,,,,,1,,,,,,,,,0,0,0,0,1,,,,,,,,
73,,,,,,,,,,,,1,,1,,,,,,,,1,,,,1,,,1,,,1,1,,,,,,,,,1,,,,,,,,,0,0,0,0,1,,,,,,,,
74,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,1,,,1,,,,,1,,,,,,1,,,,,,,,,0,0,0,0,,,,1,,,1,,
75,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,1,,,1,,,,,1,,,,,,1,,,,,,,,,0,0,0,0,,,,1,,,1,,
76,,,,,,1,,,,,,,,,,,,,1,,,1,,,,1,,1,,,1,,,,,1,,,,,,1,,,,,,,,,0,0,0,0,,,,1,,,1,,
77,1,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,1,,,,,1,,,,,,1,,,,,,,,,0,0,0,0,,,,1,,,1,,
78,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,1,,,1,,,,,1,,,,,,1,,,,,,,,,0,0,0,0,,,,1,,,1,,
79,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
80,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,1,,1,,,,1,,,,,,,,,,,1,,,0,0,0,0,,,,,,,,,
81,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,1,,,1,,1,,,,1,,,,,,,,,,,1,,,0,0,0,0,,,,,,,,,
82,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,1,,,1,,1,,,,1,,,,,,,,,,,1,,,0,0,0,0,,,,,,,,,
83,1,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,1,,,1,,1,,,,1,,,,,,,,,,,1,,,0,0,0,0,,,,,,,,,
84,1,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,1,,1,,,,1,,,,,,,,,,,1,,,0,0,0,0,,,,,,,,,
85,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,1,,,,,,
86,,,1,,,,,,1,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,1,,,,,,
87,,,1,,1,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,1,,,,,,
88,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,1,,,,,0,0,0,0,,,,,,,,1,
89,0,,1,,,,,,1,,,,,,,,,,,1,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,1,,,,,0,0,0,0,1,,,,,,,1,
90,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,1,,,,,0,0,0,0,,,,,,,,1,
91,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,1,,,,,0,0,0,0,,,,,,,,1,
92,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
93,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
94,0,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
95,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
96,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
97,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,1,,,,1,1,,,,,,,,,1,,,,,,0,0,0,0,,,,,,,,,
98,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,1,,,1,,,,1,1,,,,,,,,,1,,,,,,0,0,0,0,,,,1,,,,,
99,0,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,1,,,,1,1,,,,,,,,,1,,,,,,0,0,0,0,,,,,,,,,
100,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,1,,,1,,,,1,1,,,,,,,,,1,,,,,,0,0,0,0,,,,,,,,,
101,0,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,1,,1,,1,,,,,,,,,,,,1,,,,,,0,0,0,0,,,,,,,,,
102,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,1,,1,,,,,,,,,,,,1,,,,,,0,0,0,0,,,,,,,,,
103,0,,,,,,,1,,,,,,,,,,1,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,1,0,0,,,,,,,,1,
104,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,1,0,0,,,,,,,,1,
105,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,1,0,0,,,,,,,,1,
106,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,1,0,0,,,,,,,,1,
107,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,1,0,0,,,,,,,,1,
108,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,1,,0,0,0,0,,,,,,,,1,
109,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,1,,0,0,0,0,,,,,,,,1,
110,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,1,0,0,,,,,,,,,
111,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,1,0,0,,,,,,,,,
112,,,1,,,,,1,,,,,,,,,,,,,,1,,,,1,1,,,1,,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,1,,,,,,,,
113,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,1,0,1,0,,,,,,,,,
114,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,1,,,,,1,1,,,,,,,,,,,,1,,,0,0,0,0,,,,,,,,,
115,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,1,,1,,,,,1,1,,,,,,,,,,,,1,,,0,0,0,0,,,,,,,,,
116,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,1,0,0,0,,,,,,,,,
117,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,1,0,,0,0,,,,,,,,,
118,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,0,0,1,,,,,,,,,,
119,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,0,0,1,,,,,,,,,,
120,0,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,0,0,1,,,,,,,,,,
121,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,1,,1,,1,,,,,,,,,,,,,1,,,0,0,0,0,,,,,,,,,
122,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,1,0,1,0,0,,,,,,,,,
123,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,1,0,1,0,0,,,,,,,,,
124,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,1,,1,,,,,,,,,1,,,,,,,,,1,0,0,0,,,,,,,,,
125,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,1,0,0,0,,,,,,,,,
126,,,,,,,,1,,,,,,,,,,1,,,,1,,,,1,,1,,,1,,1,,,,1,,1,,,,1,,,,,,,,0,0,0,0,,,,,,,,,
127,,,,,,,,1,,,,,,,,,,1,,,,1,,,1,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,0,1,0,,,,,,,,,
128,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,0,1,0,,,,,,,,,
129,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,0,1,0,,,,,,,,,
130,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,0,1,0,,,,,,,,,
131,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,0,1,0,,,,,,,,,
132,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,0,1,0,,,,,,,,,
133,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,0,1,0,,,,,,,,,
134,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,0,1,0,,,,,,,,,
135,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,0,1,0,,,,,,,,,
136,1,,,,,,,,,1,,,,,,,,,1,,,1,,,1,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,0,1,0,,,,,,,,,
137,1,,,,,,,,,,1,,,,,,,,1,,,1,,,1,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,0,1,0,,,,,,,,,
138,,,,,,,,,1,,,,,,,,1,,,,,1,1,,,,,1,,1,,,1,,,,,,,,,,,,,1,,,,,0,0,0,0,,,,,1,,,,
139,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,1,,1,,,1,,,,,,,,,,,,,1,,,,,0,0,0,0,,,,,1,,,,
140,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,1,1,,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
141,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,,,,1,1,,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
142,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,1,,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
143,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,1,,,1,,,,,,,,,1,,,,,,,1,,0,0,0,0,,,,,,,,,
144,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,1,,,1,,,,,,,,,1,,,,,,,1,,0,0,0,0,,,,,,,,,
145,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,1,,1,,,,,,,,,,,,,,1,,,,0,0,0,0,,,,,1,,,,
146,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,1,,1,,,,,,,,,,,,,,1,,,,0,0,0,0,,,,,1,,,,
147,0,,,,,,,1,,,,,,,,,,1,,1,,,,1,,,,,1,1,,,1,1,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
148,,,,,,,,,,,1,,,,,,,,1,1,,,,1,,,,,1,1,,,1,1,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
149,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,1,1,,,1,1,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
150,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,1,1,,,1,1,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
151,0,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,1,1,,,1,1,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
152,0,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,1,,,1,1,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
153,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,1,,1,,,,,1,,,,,,,,1,,,,1,,,,0,0,0,0,,,,,,,,,
154,,,,,,,,,1,,,,,,,,1,,,,,1,,,1,,,1,,1,,,,,1,,,,,,,,1,,,,1,,,,0,0,0,0,,,,,,,,,
155,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
156,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
157,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
158,,,,,,,,,,,,,1,,,,,,1,,,1,1,,,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
159,0,,,,,,,1,,,,,,,,,,,1,,,1,,,1,,,1,,1,,,1,,1,,,,,,,,,,,,,1,,,0,0,0,0,,,,,,,,,
160,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,1,,1,,,1,,1,,,,,,,,,,,,,1,,,0,0,0,0,,,,,,,,,
161,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,1,,1,,,1,,,,,,,,,1,,,,,,,,1,0,0,0,0,,,,,,,,,
162,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,1,,1,,,1,,,,,,,,,1,,,,,,,,1,0,0,0,0,,,,,,,,,
163,,,,,,1,,,,,,,,,,,,,1,,,1,1,,,,,,1,1,,,1,1,1,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
164,,,,,,,,1,,,,,,,,,,,1,,,1,1,,,,,,1,1,,,1,1,1,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
165,0,,,,,,,,,1,,,,,,,,,1,,,1,1,,,,,,1,1,,,1,1,1,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
166,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,1,1,,,1,1,1,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
167,0,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,1,1,,,1,1,1,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
168,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,1,1,,,1,1,1,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
169,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,,,1,1,1,,,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,
170,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,1,,,,,,,,,,
171,0,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,0,0,1,,,,,,,,,,
